iter	Passed	Remaining
468	710	804
469	711	802
470	712	800
471	713	798
472	715	796
473	716	794
474	717	792
475	718	790
476	719	788
477	720	786
478	721	784
479	722	782
480	723	780
481	724	778
482	725	776
483	726	774
484	727	772
485	729	771
486	730	768
487	731	767
488	732	765
489	733	763
490	734	761
491	735	759
492	736	757
493	737	755
494	738	753
495	740	751
496	741	750
497	742	748
498	743	746
499	744	744
500	745	742
501	746	740
502	747	738
503	748	736
504	749	734
505	750	733
506	752	731
507	753	729
508	754	727
509	755	725
510	756	723
511	757	721
512	758	720
513	759	718
514	760	716
515	761	714
516	762	712
517	764	711
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	698
525	772	696
526	773	694
527	775	692
528	776	691
529	777	689
530	778	687
531	779	685
532	780	684
533	781	682
534	783	680
535	784	678
536	785	677
537	786	675
538	787	673
539	788	671
540	789	669
541	790	668
542	791	666
543	792	664
544	793	662
545	794	660
546	796	659
547	797	657
548	798	655
549	799	654
550	800	652
551	801	650
552	802	649
553	803	647
554	805	645
555	806	643
556	807	641
557	808	640
558	809	638
559	810	636
560	811	635
561	812	633
562	813	631
563	814	629
564	815	628
565	816	626
566	817	624
567	818	622
568	819	621
569	821	619
570	822	618
571	824	616
572	825	615
573	826	613
574	828	612
575	829	610
576	830	608
577	831	607
578	832	605
579	834	604
580	835	602
581	836	600
582	837	598
583	838	597
584	839	595
585	840	593
586	841	592
587	842	590
588	843	588
589	844	587
590	846	585
591	847	583
592	848	582
593	849	580
594	850	578
595	851	577
596	852	575
597	853	574
598	854	572
599	855	570
600	856	568
601	858	567
602	859	565
603	860	564
604	861	562
605	862	560
606	863	559
607	865	557
608	866	556
609	867	554
610	868	552
611	869	551
612	871	549
613	872	548
614	873	546
615	874	545
616	875	543
617	876	541
618	877	540
619	878	538
620	879	537
621	880	535
622	881	533
623	883	532
624	884	530
625	885	529
626	886	527
627	887	525
628	888	524
629	889	522
630	890	521
631	892	519
632	893	517
633	894	516
634	895	514
635	896	513
636	897	511
637	898	509
638	899	508
639	901	507
640	903	505
641	904	504
642	905	502
643	906	501
644	907	499
645	908	497
646	909	496
647	910	494
648	911	493
649	912	491
650	913	489
651	915	488
652	916	486
653	917	485
654	918	483
655	919	482
656	920	480
657	921	479
658	922	477
659	923	475
660	924	474
661	925	472
662	926	471
663	928	469
664	929	468
665	930	466
666	931	465
667	932	463
668	933	462
669	934	460
670	935	458
671	936	457
672	938	455
673	939	454
674	940	452
675	941	451
676	942	449
677	943	448
678	944	446
679	945	445
680	946	443
681	947	441
682	948	440
683	950	438
684	951	437
685	952	435
686	953	434
687	954	432
688	955	431
689	956	429
690	957	428
691	959	426
692	960	425
693	961	423
694	962	422
695	963	420
696	965	419
697	966	418
698	967	416
699	968	415
700	969	413
701	970	412
702	971	410
703	972	409
704	973	407
705	974	406
706	975	404
707	977	403
708	978	401
709	979	400
710	980	398
711	981	397
712	982	395
713	984	394
714	985	392
715	986	391
716	987	389
717	988	388
718	989	386
719	990	385
720	991	383
721	992	382
722	993	380
723	995	379
724	996	377
725	997	376
726	998	374
727	999	373
728	1000	371
729	1001	370
730	1002	369
731	1003	367
732	1004	366
733	1005	364
734	1007	363
735	1008	361
736	1009	360
737	1010	358
738	1011	357
739	1012	355
740	1013	354
741	1014	352
742	1015	351
743	1016	349
744	1017	348
745	1019	346
746	1020	345
747	1021	344
748	1022	342
749	1023	341
750	1024	339
751	1025	338
752	1026	336
753	1027	335
754	1028	333
755	1029	332
756	1030	330
757	1031	329
758	1033	328
759	1034	326
760	1035	325
761	1036	323
762	1037	322
763	1038	320
764	1039	319
765	1040	317
766	1041	316
767	1042	315
768	1043	313
769	1044	312
770	1046	310
771	1047	309
772	1048	307
773	1049	306
774	1050	305
775	1051	303
776	1053	302
777	1054	300
778	1055	299
779	1056	298
780	1058	296
781	1059	295
782	1060	293
783	1061	292
784	1062	291
785	1064	289
786	1065	288
787	1066	287
788	1068	285
789	1069	284
790	1070	282
791	1072	281
792	1073	280
793	1074	278
794	1075	277
795	1077	276
796	1078	274
797	1079	273
798	1081	271
799	1082	270
800	1083	269
801	1086	268
802	1087	266
803	1088	265
804	1089	263
805	1091	262
806	1092	261
807	1093	259
808	1095	258
809	1096	257
810	1097	255
811	1098	254
812	1099	253
813	1101	251
814	1102	250
815	1103	248
816	1105	247
817	1106	246
818	1107	244
819	1109	243
820	1110	242
821	1111	240
822	1112	239
823	1113	237
824	1115	236
825	1116	235
826	1117	233
827	1119	232
828	1120	231
829	1121	229
830	1122	228
831	1123	226
832	1125	225
833	1126	224
834	1127	222
835	1128	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1134	214
841	1135	213
842	1137	211
843	1138	210
844	1139	208
845	1140	207
846	1141	206
847	1142	204
848	1143	203
849	1144	202
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1151	193
856	1152	192
857	1154	191
858	1155	189
859	1156	188
860	1157	186
861	1158	185
862	1159	184
863	1160	182
864	1161	181
865	1162	179
866	1163	178
867	1164	177
868	1165	175
869	1167	174
870	1168	173
871	1169	171
872	1170	170
873	1171	168
874	1172	167
875	1173	166
876	1174	164
877	1175	163
878	1176	161
879	1177	160
880	1179	159
881	1180	157
882	1181	156
883	1182	155
884	1183	153
885	1184	152
886	1185	151
887	1186	149
888	1187	148
889	1188	146
890	1190	145
891	1191	144
892	1192	142
893	1193	141
894	1194	140
895	1195	138
896	1197	137
897	1198	136
898	1200	134
899	1201	133
900	1202	132
901	1204	130
902	1205	129
903	1206	128
904	1207	126
905	1208	125
906	1209	124
907	1210	122
908	1211	121
909	1212	119
910	1213	118
911	1214	117
912	1216	115
913	1217	114
914	1218	113
915	1219	111
916	1220	110
917	1221	109
918	1222	107
919	1224	106
920	1225	105
921	1226	103
922	1227	102
923	1228	101
924	1229	99
925	1230	98
926	1231	96
927	1232	95
928	1233	94
929	1235	92
930	1236	91
931	1237	90
932	1238	88
933	1239	87
934	1240	86
935	1241	84
936	1242	83
937	1243	82
938	1245	80
939	1246	79
940	1247	78
941	1249	76
942	1250	75
943	1251	74
944	1252	72
945	1253	71
946	1254	70
947	1255	68
948	1256	67
949	1258	66
950	1259	64
951	1260	63
952	1261	62
953	1262	60
954	1263	59
955	1264	58
956	1265	56
957	1266	55
958	1267	54
959	1268	52
960	1270	51
961	1271	50
962	1272	48
963	1273	47
964	1274	46
965	1275	44
966	1276	43
967	1277	42
968	1279	40
969	1280	39
970	1281	38
971	1282	36
972	1283	35
973	1284	34
974	1285	32
975	1286	31
976	1287	30
977	1288	28
978	1289	27
979	1291	26
